BARRIO,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
ParqueJuanPabloII,7.0,12.0,5.0,3.0,7.0,22.0,20.0,41.0,25.0,28.0,42.0,22.0,32.0,28.0,27.0,36.0,32.0,39.0,32.0,32.0,23.0,20.0,12.0,8.0
ParqueNorte,1.0,10.0,4.0,7.0,5.0,8.0,26.0,27.0,10.0,26.0,19.0,9.0,14.0,15.0,22.0,21.0,21.0,14.0,24.0,16.0,15.0,12.0,3.0,4.0
PatioBonito,2.0,13.0,8.0,14.0,7.0,25.0,41.0,58.0,47.0,42.0,41.0,49.0,64.0,38.0,46.0,42.0,41.0,55.0,42.0,25.0,14.0,15.0,16.0,10.0
Pedregal,12.0,10.0,12.0,8.0,17.0,24.0,32.0,29.0,29.0,25.0,37.0,36.0,52.0,43.0,31.0,42.0,27.0,36.0,45.0,49.0,45.0,35.0,29.0,11.0
PedregalAlto,1.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
PedregalBajo,3.0,4.0,3.0,1.0,1.0,2.0,4.0,11.0,4.0,4.0,3.0,3.0,2.0,7.0,4.0,6.0,4.0,5.0,4.0,3.0,7.0,5.0,1.0,5.0
PerpetuoSocorro,24.0,41.0,23.0,42.0,61.0,129.0,214.0,217.0,162.0,189.0,199.0,233.0,234.0,201.0,214.0,173.0,203.0,259.0,187.0,97.0,88.0,75.0,38.0,22.0
Picachito,1.0,0.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,4.0,9.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,4.0,2.0,2.0,1.0
Picacho,9.0,9.0,12.0,13.0,11.0,25.0,37.0,34.0,36.0,25.0,30.0,25.0,29.0,33.0,26.0,26.0,31.0,30.0,42.0,37.0,35.0,40.0,18.0,13.0
PiedraGorda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PiedrasBlancas,2.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,6.0,5.0,2.0,8.0,5.0,2.0,3.0,6.0,3.0,1.0,1.0,5.0,7.0,1.0,2.0,1.0
PiedrasBlancas-Matasano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PiedrasBlancasRepresa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PlayondeLosComuneros,6.0,4.0,2.0,2.0,7.0,7.0,15.0,10.0,13.0,12.0,8.0,14.0,16.0,12.0,18.0,9.0,10.0,18.0,13.0,16.0,14.0,7.0,8.0,5.0
PlazadeFerias,2.0,4.0,1.0,1.0,1.0,6.0,11.0,12.0,5.0,9.0,5.0,5.0,7.0,7.0,7.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0
Popular,4.0,10.0,8.0,4.0,9.0,10.0,22.0,18.0,15.0,15.0,13.0,25.0,27.0,17.0,20.0,24.0,26.0,23.0,26.0,17.0,16.0,16.0,12.0,6.0
Potrerito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prado,18.0,32.0,20.0,22.0,24.0,65.0,126.0,130.0,124.0,78.0,76.0,107.0,112.0,93.0,80.0,83.0,90.0,100.0,105.0,65.0,49.0,37.0,27.0,16.0
Robledo,7.0,11.0,16.0,12.0,17.0,43.0,81.0,85.0,52.0,42.0,35.0,49.0,49.0,33.0,38.0,39.0,29.0,32.0,49.0,36.0,36.0,27.0,18.0,6.0
Rosales,13.0,18.0,12.0,15.0,24.0,39.0,50.0,87.0,77.0,69.0,59.0,78.0,65.0,67.0,62.0,62.0,77.0,85.0,47.0,63.0,52.0,32.0,23.0,14.0
SanAntonio,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,2.0,2.0
SanBenito,15.0,59.0,47.0,50.0,63.0,100.0,157.0,173.0,162.0,184.0,154.0,211.0,217.0,149.0,151.0,174.0,167.0,201.0,131.0,110.0,70.0,59.0,44.0,11.0
SanBernardo,12.0,14.0,5.0,16.0,8.0,24.0,49.0,45.0,40.0,39.0,39.0,50.0,59.0,45.0,47.0,50.0,50.0,36.0,38.0,42.0,39.0,41.0,19.0,13.0
SanDiego,8.0,41.0,36.0,34.0,35.0,73.0,134.0,180.0,111.0,107.0,122.0,153.0,175.0,149.0,132.0,127.0,126.0,170.0,136.0,103.0,58.0,43.0,46.0,18.0
SanGerman,2.0,10.0,4.0,4.0,6.0,23.0,29.0,33.0,32.0,21.0,14.0,18.0,28.0,22.0,25.0,31.0,23.0,28.0,37.0,33.0,21.0,12.0,14.0,6.0
SanIsidro,10.0,14.0,8.0,13.0,10.0,28.0,59.0,52.0,40.0,38.0,36.0,29.0,47.0,42.0,43.0,33.0,39.0,38.0,56.0,50.0,42.0,30.0,30.0,13.0
SanJavier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SanJavierNo1,7.0,13.0,8.0,11.0,6.0,28.0,36.0,40.0,28.0,29.0,27.0,21.0,36.0,29.0,27.0,21.0,36.0,38.0,40.0,45.0,30.0,25.0,10.0,12.0
SanJavierNo2,0.0,4.0,8.0,5.0,1.0,3.0,9.0,10.0,14.0,4.0,19.0,7.0,16.0,8.0,8.0,13.0,12.0,14.0,20.0,17.0,22.0,16.0,8.0,5.0
SanJoaquin,5.0,8.0,9.0,6.0,6.0,13.0,25.0,39.0,34.0,23.0,40.0,41.0,38.0,35.0,24.0,23.0,29.0,27.0,34.0,27.0,16.0,15.0,12.0,6.0
SanJosedelaMontaña,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SanJoselaCimaNo1,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,2.0,1.0,1.0,0.0,2.0,5.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
SanJoselaCimaNo2,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SanLucas,0.0,1.0,0.0,1.0,3.0,1.0,2.0,8.0,5.0,7.0,9.0,7.0,10.0,8.0,12.0,8.0,17.0,9.0,6.0,7.0,7.0,3.0,2.0,1.0
SanMartindePorres,10.0,11.0,6.0,8.0,6.0,16.0,38.0,27.0,21.0,21.0,18.0,16.0,39.0,27.0,23.0,26.0,27.0,32.0,18.0,28.0,29.0,14.0,17.0,5.0
SanMiguel,8.0,13.0,9.0,8.0,10.0,24.0,55.0,45.0,44.0,26.0,32.0,39.0,40.0,41.0,29.0,29.0,33.0,51.0,40.0,29.0,37.0,14.0,11.0,5.0
SanPablo,4.0,8.0,10.0,6.0,3.0,12.0,22.0,13.0,13.0,13.0,14.0,17.0,18.0,12.0,18.0,16.0,12.0,14.0,17.0,22.0,19.0,9.0,5.0,7.0
SanPedro,10.0,19.0,16.0,17.0,12.0,24.0,44.0,36.0,34.0,28.0,37.0,38.0,45.0,47.0,37.0,48.0,56.0,47.0,55.0,45.0,30.0,23.0,18.0,8.0
SantaCruz,5.0,6.0,5.0,5.0,5.0,9.0,20.0,13.0,11.0,10.0,14.0,8.0,9.0,12.0,14.0,13.0,11.0,12.0,10.0,17.0,16.0,9.0,6.0,6.0
SantaFe,15.0,32.0,31.0,28.0,43.0,125.0,179.0,215.0,159.0,117.0,131.0,145.0,173.0,161.0,157.0,146.0,169.0,184.0,152.0,106.0,70.0,58.0,47.0,17.0
SantaInes,6.0,5.0,10.0,4.0,9.0,16.0,26.0,36.0,18.0,22.0,14.0,19.0,17.0,19.0,29.0,23.0,26.0,32.0,27.0,16.0,19.0,23.0,11.0,6.0
SantaLucia,1.0,3.0,2.0,4.0,3.0,8.0,7.0,8.0,13.0,6.0,14.0,8.0,15.0,12.0,14.0,9.0,18.0,8.0,16.0,14.0,5.0,13.0,4.0,3.0
SantaMargarita,3.0,2.0,1.0,3.0,2.0,7.0,11.0,4.0,3.0,4.0,3.0,7.0,11.0,5.0,7.0,6.0,13.0,10.0,8.0,5.0,6.0,7.0,2.0,2.0
SantaMariadeLosÁngeles,1.0,1.0,0.0,1.0,3.0,9.0,18.0,18.0,16.0,11.0,13.0,14.0,9.0,8.0,14.0,12.0,10.0,20.0,15.0,8.0,12.0,4.0,4.0,1.0
SantaMariadelosÁngeles,0.0,8.0,11.0,9.0,11.0,12.0,22.0,36.0,28.0,39.0,40.0,35.0,42.0,40.0,37.0,33.0,43.0,40.0,31.0,21.0,14.0,15.0,6.0,4.0
SantaMonica,2.0,6.0,5.0,8.0,7.0,15.0,22.0,28.0,19.0,13.0,16.0,19.0,18.0,19.0,19.0,19.0,18.0,18.0,14.0,16.0,8.0,12.0,10.0,5.0
SantaRosadeLima,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0
SantaTeresita,1.0,7.0,2.0,1.0,1.0,8.0,19.0,19.0,16.0,18.0,7.0,8.0,13.0,15.0,9.0,14.0,8.0,8.0,13.0,10.0,10.0,10.0,5.0,1.0
Santander,10.0,9.0,11.0,4.0,7.0,15.0,18.0,22.0,24.0,22.0,13.0,25.0,27.0,28.0,18.0,16.0,16.0,14.0,22.0,30.0,32.0,17.0,17.0,14.0
SantoDomingoSavioNo1,10.0,13.0,4.0,7.0,9.0,12.0,35.0,17.0,13.0,15.0,16.0,16.0,20.0,21.0,18.0,25.0,20.0,26.0,17.0,25.0,33.0,19.0,13.0,7.0
SantoDomingoSavioNo2,0.0,2.0,4.0,0.0,4.0,3.0,8.0,8.0,5.0,11.0,3.0,11.0,8.0,6.0,4.0,16.0,12.0,10.0,6.0,10.0,7.0,4.0,1.0,5.0
Sevilla,5.0,24.0,15.0,24.0,19.0,30.0,63.0,61.0,66.0,50.0,44.0,65.0,58.0,50.0,51.0,56.0,63.0,60.0,58.0,51.0,39.0,39.0,25.0,10.0
SimonBolivar,2.0,6.0,7.0,6.0,5.0,12.0,23.0,23.0,12.0,12.0,17.0,17.0,32.0,20.0,20.0,13.0,17.0,20.0,20.0,21.0,9.0,11.0,5.0,4.0
SinNombre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
SuburbanoAltavista,1.0,1.0,1.0,0.0,1.0,4.0,6.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,0.0,6.0,4.0,5.0,10.0,2.0,1.0,1.0
SuburbanoChacaltaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
SuburbanoElLlano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
